bacteria_relative,phage_relative,bacteria_logratio,phage_logratio,category,threshold,scenario
0.180790047989596,0.013174752069298,0.199414876320486,0.013088719834996,max,0.1,growth
0.180790047989596,0.013174752069298,0.199414876320486,0.013088719834996,end,0.1,growth
0.005242485666961,0.005290666409889,0.005256275712136,0.005285817055309,median,0.1,growth
0.002935585553561,0.003315750026974,0.002897871633557,0.003298899423006,mad,0.1,growth
0.040926626172054,0.017914501227144,0.043873316889974,0.01811570098333,mean,0.5,growth
0.066778472347582,0.012247396312325,0.075313547943499,0.012571935747417,std,0.5,growth
0.289060740150127,0.056506932531797,0.341168282012603,0.058166261875987,max,0.5,growth
0.289060740150127,0.016613633565049,0.341168282012603,0.016477136884127,end,0.5,growth
0.006364956671474,0.015873808168932,0.006385299374412,0.015777136884127,median,0.5,growth
0.005940551466751,0.008888365150064,0.005960984204105,0.009081966405739,mad,0.5,growth
