,Experiment,Measurement,Time,Concentration,Bioagent,Type
371,18,2,10.4,2.359421410611001,PFU,sp
372,18,3,9.700000000000001,845028665.5795715,CFU,wt
373,18,3,9.66,13.29085962154809,PFU,wt
374,18,3,9.73,575184329.8266332,CFU,sp
375,18,3,9.98,2.0773113333943547,PFU,sp
376,18,4,10.450000000000001,956648649.4802656,CFU,wt
377,18,4,10.33,16.23771563322219,PFU,wt
378,18,4,10.02,615629920.9113946,CFU,sp
379,18,4,10.27,2.269280721671142,PFU,sp
380,19,0,9.88,872845649.2952325,CFU,wt
381,19,0,9.92,14.394907927779638,PFU,wt
382,19,0,9.620000000000001,560124477.7745786,CFU,sp
383,19,0,9.61,1.850317830059554,PFU,sp
384,19,1,9.8,860551431.364297,CFU,wt
385,19,1,10.42,16.65830320184622,PFU,wt
386,19,1,10.02,615629920.9113946,CFU,sp
387,19,1,10.33,2.3105677031387093,PFU,sp
388,19,2,10.0,891063658.195832,CFU,wt
389,19,2,9.67,13.332370347476232,PFU,wt
390,19,2,10.31,656982926.6577199,CFU,sp
391,19,2,10.25,2.2556386099497834,PFU,sp
392,19,3,10.290000000000001,933860184.0165012,CFU,wt
393,19,3,9.57,12.92073565406688,PFU,wt
394,19,3,9.620000000000001,560124477.7745786,CFU,sp
395,19,3,9.84,1.9890847362881583,PFU,sp
396,19,4,9.72,848146382.3140684,CFU,wt
397,19,4,10.32,16.191333006820585,PFU,wt
398,19,4,9.55,550629573.7289388,CFU,sp
399,19,4,9.77,1.9460435200011568,PFU,sp
400,20,0,9.81,862094418.6826407,CFU,wt
401,20,0,10.06,15.010405637434095,PFU,wt
402,20,0,9.58,554690145.0264009,CFU,sp
403,20,0,10.290000000000001,2.2829828965113816,PFU,sp
404,20,1,10.18,917843798.1328845,CFU,wt
405,20,1,9.77,13.751692865570204,PFU,wt
406,20,1,9.9,598771271.629141,CFU,sp
407,20,1,9.61,1.850317830059554,PFU,sp
408,20,2,10.48,960851647.4219812,CFU,wt
409,20,2,9.66,13.29085962154809,PFU,wt
410,20,2,10.0,612808917.2196454,CFU,sp
411,20,2,10.24,2.2488400562708377,PFU,sp
412,20,3,9.63,834067468.0867445,CFU,wt
413,20,3,9.78,13.794044818033061,PFU,wt
414,20,3,9.81,586238656.8966845,CFU,sp
415,20,3,10.450000000000001,2.394770294150412,PFU,sp
416,20,4,10.24,926614207.8295062,CFU,wt
417,20,4,9.92,14.394907927779638,PFU,wt
418,20,4,9.61,558763749.0894246,CFU,sp
419,20,4,10.19,2.2150719556052456,PFU,sp
420,21,0,10.290000000000001,933860184.0165012,CFU,wt
421,21,0,9.870000000000001,14.178620275002961,PFU,wt
422,21,0,10.05,619869511.5180517,CFU,sp
423,21,0,9.61,1.850317830059554,PFU,sp
424,21,1,9.790000000000001,859006711.9406546,CFU,wt
425,21,1,10.47,16.89438664444527,PFU,wt
426,21,1,9.620000000000001,560124477.7745786,CFU,sp
427,21,1,10.3,2.289856528701241,PFU,sp
428,21,2,9.89,874374275.4966784,CFU,wt
429,21,2,10.07,15.054922553125454,PFU,wt
430,21,2,9.540000000000001,549278981.2910464,CFU,sp
431,21,2,9.5,1.78662483856921,PFU,sp
432,21,3,9.5,813522527.1471375,CFU,wt
433,21,3,10.32,16.191333006820585,PFU,wt
434,21,3,9.56,551981636.8221196,CFU,sp
435,21,3,10.16,2.1949905005966563,PFU,sp
436,21,4,10.03,895573998.3736597,CFU,wt
437,21,4,9.55,12.839338027954154,PFU,wt
438,21,4,9.71,572433888.5068696,CFU,sp
439,21,4,10.08,2.142095529568214,PFU,sp
440,22,0,9.61,830922142.151673,CFU,wt
441,22,0,9.89,14.264910537164791,PFU,wt
442,22,0,9.74,576561550.16902,CFU,sp
443,22,0,9.86,2.0015130522779327,PFU,sp
444,22,1,10.38,946754900.7233524,CFU,wt
445,22,1,9.950000000000001,14.525577408262016,PFU,wt
446,22,1,9.92,601569581.026694,CFU,sp
447,22,1,10.03,2.109518656202034,PFU,sp
448,22,2,10.38,946754900.7233524,CFU,wt
449,22,2,10.48,16.94180919815293,PFU,wt
450,22,2,9.88,595977712.3465495,CFU,sp
451,22,2,10.120000000000001,2.1684240036396005,PFU,sp
452,22,3,10.14,911952358.6011204,CFU,wt
453,22,3,9.65,13.249425858945083,PFU,wt
454,22,3,10.23,645497445.9307353,CFU,sp
455,22,3,10.47,2.409015865131187,PFU,sp
456,22,4,10.33,939614972.6696973,CFU,wt
457,22,4,9.85,14.09263062625721,PFU,wt
458,22,4,10.0,612808917.2196454,CFU,sp
459,22,4,9.65,1.8739051423350492,PFU,sp
460,23,0,10.11,907510933.8251894,CFU,wt
461,23,0,10.46,16.847032543489306,PFU,wt
462,23,0,9.790000000000001,583467322.3669512,CFU,sp
463,23,0,9.91,2.032839258765961,PFU,sp
