,B,T,dB/dt_1,dT/dt_1,dB/dt_2,dT/dt_2
81,865173.4895734166,3370370.478900329,368193.5990747635,10674814.701898787,691177.4849645123,13112361.310393492
82,898596.0947603184,5011604.805169056,334226.05186901754,16412343.26268727,673634.2300920777,20251305.785376843
83,926278.5504611252,7556027.362426847,276824.5570080681,25444225.57257791,623681.1132396125,31474280.44969523
84,944698.8630993441,11512894.513728132,184203.12638218864,39568671.51301285,523942.4260463604,48910746.50681894
85,948739.0121352441,17634714.626531582,40401.49035900016,61218201.128034495,351942.8588998443,75238960.602327
86,931515.002946866,26939465.083535224,-172240.09188378113,93047504.57003641,85528.02575189027,112849891.03280947
87,885146.0429172697,40580883.22832219,-463689.6002959623,136414181.4478697,-280968.80760357284,161526410.46132803
88,803500.9678406834,59402797.543433785,-816450.7507658633,188219143.15111592,-708755.2885011814,214619596.10054782
89,687155.0761202651,83148248.87234409,-1163458.9172041835,237454513.28910306,-1095632.6699860317,256878020.67729798
90,547649.3529666772,109804017.75523745,-1395057.231535879,266557688.82893354,-1311138.5606339101,270295995.4958732
91,405438.40480346174,135985265.25521,-1422109.4816321542,261812474.99972567,-1289114.906332323,247720661.85560122
92,280537.3270106463,158488159.74206135,-1249010.7779281544,225028944.86851335,-1081371.7465966446,199634534.28865615
93,183776.67350597377,175694444.6752804,-967606.5350467252,172062849.33219045,-803257.2117216948,144806488.2364699
94,115676.51119865723,187700412.67199832,-681001.6230731653,120059679.9671793,-547267.0065745583,97180818.84252088
95,70875.29642011345,195545909.3896437,-448012.1477854378,78454967.17645377,-351993.4619738471,61819655.766501375
96,42684.34069322524,200449048.38491565,-281909.55726888205,49031389.95271951,-218265.15756293316,37940902.29254761
97,25435.643649159083,203422211.4638165,-172486.97044066156,29731630.78900844,-132333.1671492824,22714204.772930153
98,15061.22431957153,205185806.89688247,-103744.19329587554,17635954.330659807,-79155.38205837263,13332052.33258678
99,8885.054240762744,206211697.8761583,-61761.70078808785,10258909.792758226,-46969.5148045969,7667516.789139262
100,5230.352525811999,206794866.12109315,-36547.01714950745,5831682.449348569,-27740.98423701161,4288219.6013973
101,3075.277153728282,207114845.58472776,-21550.75372083717,3199794.6363461018,-16340.317146384772,2286288.4200737956
102,1807.0235902365068,207279227.15006843,-12682.535634917751,1643815.6534066796,-9610.432365572096,1105131.203497551
103,1061.4842606958164,207351912.59049067,-7455.393295406904,726854.4042223692,-5647.68791457318,409868.2071265384
104,623.4737921626581,207370659.59126368,-4380.104685331582,187470.00773012638,-3317.578732612714,1167.9249783274718
105,366.20777922834833,207357712.21139675,-2572.6601293430977,-129473.79866927862,-1948.4932175386837,-238889.5613652814
106,215.11510557615355,207326153.2692895,-1510.9267365219478,-315589.4210726023,-1144.3660254580916,-379817.7860825161
107,126.37623331891882,207283670.4683733,-887.3887225723473,-424828.00916194916,-672.1332750823638,-462513.4945510366
108,74.25422019619819,207234779.17593774,-521.2201312272063,-488912.9243555665,-394.81290958063926,-511011.1255290431
109,43.63590849407895,207182130.96713662,-306.1831170211924,-526482.0880112052,-231.94509761003653,-539427.3544197765
110,25.647055515059588,207127282.86696783,-179.8885297901936,-548481.0016879439,-136.2837977076236,-556051.4698768333
111,15.076607727217137,207071149.21366122,-105.7044778784245,-561336.5330660343,-80.08896769505708,-565750.5306008186
112,8.864282195039069,207014266.99012476,-62.12325532178068,-568822.2353646159,-47.07313245445364,-571382.2996078511
113,5.212643351243541,206956951.60191303,-36.51638843795528,-573153.8821172714,-27.672404316721106,-574624.8969854304
