,Theoretic Time,Experiment,Measurement,Time,Concentration,Bioagent,Type,Total_Type
273,34.0,13,3,34.07,168.70872884583642,PFU,wt,PFUwt
274,34.0,13,3,34.29,1539782439.199674,CFU,sp,CFUsp
275,34.0,13,3,33.58,35.41016722981791,PFU,sp,PFUsp
276,34.0,13,4,33.84,1389989657.714223,CFU,wt,CFUwt
277,34.0,13,4,33.55,165.361168078324,PFU,wt,PFUwt
278,34.0,13,4,33.51,1539706936.5094483,CFU,sp,CFUsp
279,34.0,13,4,34.07,36.15742973355818,PFU,sp,PFUsp
280,34.0,14,0,34.24,1389991433.6259387,CFU,wt,CFUwt
281,34.0,14,0,34.12,169.0303349013134,PFU,wt,PFUwt
282,34.0,14,0,33.72,1539729523.841337,CFU,sp,CFUsp
283,34.0,14,0,34.49,36.79708524362596,PFU,sp,PFUsp
284,34.0,14,1,33.62,1389988528.577161,CFU,wt,CFUwt
285,34.0,14,1,34.230000000000004,169.73769862407212,PFU,wt,PFUwt
286,34.0,14,1,33.56,1539712479.8687975,CFU,sp,CFUsp
287,34.0,14,1,33.53,35.33385564892281,PFU,sp,PFUsp
288,34.0,14,2,34.18,1389991188.092019,CFU,wt,CFUwt
289,34.0,14,2,33.57,165.49001687468424,PFU,wt,PFUwt
290,34.0,14,2,33.5,1539705815.0803368,CFU,sp,CFUsp
291,34.0,14,2,34.11,36.21838334865211,PFU,sp,PFUsp
292,34.0,14,3,33.6,1389988420.0078094,CFU,wt,CFUwt
293,34.0,14,3,34.480000000000004,171.3444764761412,PFU,wt,PFUwt
294,34.0,14,3,33.89,1539746527.5830781,CFU,sp,CFUsp
295,34.0,14,3,34.03,36.0964689569111,PFU,sp,PFUsp
296,34.0,14,4,34.410000000000004,1389992092.78078,CFU,wt,CFUwt
297,34.0,14,4,34.19,169.4805024311811,PFU,wt,PFUwt
298,34.0,14,4,33.84,1539741640.5501819,CFU,sp,CFUsp
299,34.0,14,4,34.12,36.23362063326049,PFU,sp,PFUsp
300,34.0,15,0,33.97,1389990271.9635928,CFU,wt,CFUwt
301,34.0,15,0,33.64,165.94092687205872,PFU,wt,PFUwt
302,34.0,15,0,34.28,1539781606.6462414,CFU,sp,CFUsp
303,34.0,15,0,33.86,35.83730579565354,PFU,sp,PFUsp
304,34.0,15,1,33.85,1389989706.310938,CFU,wt,CFUwt
305,34.0,15,1,33.97,168.0653721590419,PFU,wt,PFUwt
306,34.0,15,1,34.03,1539759725.123494,CFU,sp,CFUsp
307,34.0,15,1,33.83,35.791557704186594,PFU,sp,PFUsp
308,34.0,15,2,34.46,1389992276.8164568,CFU,wt,CFUwt
309,34.0,15,2,33.64,165.94092687205872,PFU,wt,PFUwt
310,34.0,15,2,34.22,1539776544.0013888,CFU,sp,CFUsp
311,34.0,15,2,33.8,35.745805589723844,PFU,sp,PFUsp
312,34.0,15,3,34.39,1389992017.9443867,CFU,wt,CFUwt
313,34.0,15,3,34.2,169.54480436982098,PFU,wt,PFUwt
314,34.0,15,3,33.93,1539750370.5780227,CFU,sp,CFUsp
315,34.0,15,3,34.03,36.0964689569111,PFU,sp,PFUsp
316,34.0,15,4,34.34,1389991827.7399917,CFU,wt,CFUwt
317,34.0,15,4,34.4,170.8304385417941,PFU,wt,PFUwt
318,34.0,15,4,33.83,1539740651.8962946,CFU,sp,CFUsp
319,34.0,15,4,34.2,36.35550279065585,PFU,sp,PFUsp
320,34.0,16,0,33.96,1389990226.037347,CFU,wt,CFUwt
321,34.0,16,0,34.230000000000004,169.73769862407212,PFU,wt,PFUwt
322,34.0,16,0,33.75,1539732605.269215,CFU,sp,CFUsp
323,34.0,16,0,33.94,35.95928103285794,PFU,sp,PFUsp
324,34.0,16,1,34.37,1389991942.3997123,CFU,wt,CFUwt
325,34.0,16,1,34.160000000000004,169.2875850529194,PFU,wt,PFUwt
326,34.0,16,1,34.12,1539767844.1613162,CFU,sp,CFUsp
327,34.0,16,1,34.44,36.72097723243594,PFU,sp,PFUsp
328,34.0,16,2,34.31,1389991711.4486482,CFU,wt,CFUwt
329,34.0,16,2,33.94,167.87232755774673,PFU,wt,PFUwt
330,34.0,16,2,33.99,1539756026.1171043,CFU,sp,CFUsp
331,34.0,16,2,34.14,36.264093859320916,PFU,sp,PFUsp
332,34.0,16,3,34.18,1389991188.092019,CFU,wt,CFUwt
333,34.0,16,3,34.42,170.95895958043243,PFU,wt,PFUwt
334,34.0,16,3,34.12,1539767844.1613162,CFU,sp,CFUsp
335,34.0,16,3,33.910000000000004,35.91354367283944,PFU,sp,PFUsp
336,34.0,16,4,33.82,1389989559.8314288,CFU,wt,CFUwt
337,34.0,16,4,34.44,171.08747291544105,PFU,wt,PFUwt
338,34.0,16,4,33.64,1539721132.0137281,CFU,sp,CFUsp
339,34.0,16,4,34.45,36.73619973147176,PFU,sp,PFUsp
340,34.0,17,0,33.68,1389988848.2158713,CFU,wt,CFUwt
341,34.0,17,0,34.4,170.8304385417941,PFU,wt,PFUwt
342,34.0,17,0,34.13,1539768729.1718616,CFU,sp,CFUsp
343,34.0,17,0,33.72,35.623780288745415,PFU,sp,PFUsp
344,34.0,17,1,33.59,1389988365.3384123,CFU,wt,CFUwt
345,34.0,17,1,34.35,170.50910223924643,PFU,wt,PFUwt
346,34.0,17,1,33.8,1539737663.181087,CFU,sp,CFUsp
347,34.0,17,1,33.55,35.36438161988102,PFU,sp,PFUsp
348,34.0,17,2,33.660000000000004,1389988742.671693,CFU,wt,CFUwt
349,34.0,17,2,33.57,165.49001687468424,PFU,wt,PFUwt
350,34.0,17,2,34.36,1539788178.8926804,CFU,sp,CFUsp
351,34.0,17,2,34.09,36.18790743639167,PFU,sp,PFUsp
352,34.0,17,3,33.56,1389988199.7767668,CFU,wt,CFUwt
353,34.0,17,3,33.97,168.0653721590419,PFU,wt,PFUwt
354,34.0,17,3,33.8,1539737663.181087,CFU,sp,CFUsp
355,34.0,17,3,33.61,35.455948823211685,PFU,sp,PFUsp
356,34.0,17,4,33.96,1389990226.037347,CFU,wt,CFUwt
357,34.0,17,4,34.33,170.38055423482,PFU,wt,PFUwt
358,34.0,17,4,34.32,1539784917.8679414,CFU,sp,CFUsp
359,34.0,17,4,34.36,36.5991811006567,PFU,sp,PFUsp
360,34.0,18,0,34.38,1389991980.2610023,CFU,wt,CFUwt
