,Time,Concentration,Bioagent,Type
197,1.97,54325777.28968995,CFU,wt
198,1.98,54572185.76310623,CFU,wt
199,1.99,54819666.01393574,CFU,wt
200,2.0,55068222.28710545,CFU,wt
201,2.0100000000000002,55317858.84056127,CFU,wt
202,2.02,55568579.94527226,CFU,wt
203,2.0300000000000002,55820389.88523438,CFU,wt
204,2.04,56073292.95747377,CFU,wt
205,2.05,56327293.47204979,CFU,wt
206,2.06,56582395.752057455,CFU,wt
207,2.07,56838604.1336295,CFU,wt
208,2.08,57095922.96593815,CFU,wt
209,2.09,57354356.61119621,CFU,wt
210,2.1,57613909.44465799,CFU,wt
211,2.11,57874585.85461952,CFU,wt
212,2.12,58136390.242418595,CFU,wt
213,2.13,58399327.0224341,CFU,wt
214,2.14,58663400.62208512,CFU,wt
215,2.15,58928615.48182935,CFU,wt
216,2.16,59194976.05516133,CFU,wt
217,2.17,59462486.80860985,CFU,wt
218,2.18,59731152.22173527,CFU,wt
219,2.19,60000976.78712601,CFU,wt
220,2.2,60271965.01039483,CFU,wt
221,2.21,60544121.410174385,CFU,wt
222,2.22,60817450.51811255,CFU,wt
223,2.23,61091956.8788669,CFU,wt
224,2.24,61367645.05009911,CFU,wt
225,2.25,61644519.60246842,CFU,wt
226,2.2600000000000002,61922585.1196249,CFU,wt
227,2.27,62201846.198202,CFU,wt
228,2.2800000000000002,62482307.447808735,CFU,wt
229,2.29,62763973.49102117,CFU,wt
230,2.3000000000000003,63046848.96337355,CFU,wt
231,2.31,63330938.513348654,CFU,wt
232,2.32,63616246.80236791,CFU,wt
233,2.33,63902778.504780695,CFU,wt
234,2.34,64190538.30785313,CFU,wt
235,2.35,64479530.9117565,CFU,wt
236,2.36,64769761.029554814,CFU,wt
237,2.37,65061233.387192056,CFU,wt
238,2.38,65353952.72347865,CFU,wt
239,2.39,65647923.79007754,CFU,wt
240,2.4,65943151.35148944,CFU,wt
241,2.41,66239640.185037784,CFU,wt
242,2.42,66537395.080852754,CFU,wt
243,2.43,66836420.84185502,CFU,wt
244,2.44,67136722.28373855,CFU,wt
245,2.45,67438304.23495312,CFU,wt
246,2.46,67741171.53668593,CFU,wt
247,2.47,68045329.04284278,CFU,wt
248,2.48,68350781.62002851,CFU,wt
249,2.49,68657534.14752683,CFU,wt
250,2.5,68965591.51727949,CFU,wt
251,2.5100000000000002,69274958.63386488,CFU,wt
252,2.52,69585640.4144758,CFU,wt
253,2.5300000000000002,69897641.78889677,CFU,wt
254,2.54,70210967.69948046,CFU,wt
255,2.5500000000000003,70525623.10112374,CFU,wt
256,2.56,70841612.96124263,CFU,wt
257,2.57,71158942.25974703,CFU,wt
258,2.58,71477615.9890144,CFU,wt
259,2.59,71797639.15386283,CFU,wt
260,2.6,72119016.77152361,CFU,wt
261,2.61,72441753.87161271,CFU,wt
262,2.62,72765855.49610199,CFU,wt
263,2.63,73091326.69928926,CFU,wt
264,2.64,73418172.54776788,CFU,wt
265,2.65,73746398.12039557,CFU,wt
